"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "XML", "Prisma", "Markdown", "PL/SQL", "YAML", "PostCSS", "comment", "blank", "total"
"e:\FYP\educonnect-fyp\prisma\migrations\20240925141456_update_message_model\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"e:\FYP\educonnect-fyp\prisma\migrations\20241002054437_event_model_created\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 4, 24
"e:\FYP\educonnect-fyp\prisma\migrations\20241002060257_event_model_and_registation_update\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 21, 11, 63
"e:\FYP\educonnect-fyp\prisma\migrations\20241003031936_registation_update\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 2, 7
"e:\FYP\educonnect-fyp\prisma\migrations\20241003081421_update_event\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 15, 6, 31
"e:\FYP\educonnect-fyp\prisma\migrations\20241003082001_add_start_time_and_registration_end_date\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 2, 7
"e:\FYP\educonnect-fyp\prisma\migrations\20250207034109_add_payment_model\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 14, 9, 44
"e:\FYP\educonnect-fyp\prisma\migrations\20250207043917_init_schema\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 24, 11, 56
"e:\FYP\educonnect-fyp\prisma\migrations\20250207044511_make_name_optional\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 6
"e:\FYP\educonnect-fyp\prisma\migrations\20250207044906_change_types\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 8, 2, 19
"e:\FYP\educonnect-fyp\prisma\migrations\20250207050058_change_types\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 8, 2, 19
"e:\FYP\educonnect-fyp\prisma\migrations\20250211080104_group_message\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 3, 9
"e:\FYP\educonnect-fyp\prisma\migrations\20250214050238_add_message_content\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 5
"e:\FYP\educonnect-fyp\prisma\migrations\20250220070534_payment_model_update\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 10, 3, 28
"e:\FYP\educonnect-fyp\prisma\migrations\20250224024350_group_member_demo\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 3, 10
"e:\FYP\educonnect-fyp\prisma\migrations\20250320215822_book_article_model\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 5, 7, 42
"e:\FYP\educonnect-fyp\prisma\migrations\20250322084112_fileurl_in_atrical\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 6
"e:\FYP\educonnect-fyp\prisma\migrations\20250425110427_notification\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 4, 17
"e:\FYP\educonnect-fyp\prisma\migrations\20250426113021_add_count_fields_to_post\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 2, 9
"e:\FYP\educonnect-fyp\prisma\migrations\20250426181250_add_message_delivery_and_last_seen_fields\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 2, 7
"e:\FYP\educonnect-fyp\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 228, 0, 0, 0, 0, 9, 34, 271
"e:\FYP\educonnect-fyp\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\FYP\educonnect-fyp\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\FYP\educonnect-fyp\server.ts", "TypeScript", 0, 0, 409, 0, 0, 0, 0, 0, 0, 0, 0, 59, 70, 538
"e:\FYP\educonnect-fyp\src\Schema\Sign-up-schema.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 20
"e:\FYP\educonnect-fyp\src\Schema\signInSchema.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\FYP\educonnect-fyp\src\Schema\verifySchema.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"e:\FYP\educonnect-fyp\src\app\(app)\(profile)\user-profile\[userId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 6, 27
"e:\FYP\educonnect-fyp\src\app\(app)\Events\[eventId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 700, 0, 0, 0, 0, 0, 0, 223, 51, 974
"e:\FYP\educonnect-fyp\src\app\(app)\Events\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\FYP\educonnect-fyp\src\app\(app)\Events\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\FYP\educonnect-fyp\src\app\(app)\Events\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 890, 0, 0, 0, 0, 0, 0, 30, 52, 972
"e:\FYP\educonnect-fyp\src\app\(app)\Home\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\FYP\educonnect-fyp\src\app\(app)\Home\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 393, 0, 0, 0, 0, 0, 0, 28, 28, 449
"e:\FYP\educonnect-fyp\src\app\(app)\Trending\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\FYP\educonnect-fyp\src\app\(app)\chat\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 5, 9, 117
"e:\FYP\educonnect-fyp\src\app\(app)\group\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 3, 10, 118
"e:\FYP\educonnect-fyp\src\app\(app)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 6, 35
"e:\FYP\educonnect-fyp\src\app\(app)\library\articles\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 5, 31, 291
"e:\FYP\educonnect-fyp\src\app\(app)\library\articles\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 17, 24, 235
"e:\FYP\educonnect-fyp\src\app\(app)\library\articles\add\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 437, 0, 0, 0, 0, 0, 0, 12, 36, 485
"e:\FYP\educonnect-fyp\src\app\(app)\library\articles\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 3, 13, 138
